group,split,cluster,slot,value
WEEKDAY,train,0,0,0.0734218061923146
WEEKDAY,train,0,1,0.0517440077617582
WEEKDAY,train,0,2,0.04778866552050023
WEEKDAY,train,0,3,0.042658094297319545
WEEKDAY,train,0,4,0.04005015734652426
WEEKDAY,train,0,5,0.04041398976493529
WEEKDAY,train,0,6,0.043353417165600885
WEEKDAY,train,0,7,0.041005767277955345
WEEKDAY,train,0,8,0.04211454500211132
WEEKDAY,train,0,9,0.04182486150489629
WEEKDAY,train,0,10,0.04226480653415371
WEEKDAY,train,0,11,0.047097132573244015
WEEKDAY,train,0,12,0.04847996282499847
WEEKDAY,train,0,13,0.06603966841607847
WEEKDAY,train,0,14,0.19666516797872555
WEEKDAY,train,0,15,0.21092375417244769
WEEKDAY,train,0,16,0.2348896437835556
WEEKDAY,train,0,17,0.21136872624720998
WEEKDAY,train,0,18,0.18608669328487262
WEEKDAY,train,0,19,0.16192309939977084
WEEKDAY,train,0,20,0.1563111100219178
WEEKDAY,train,0,21,0.1405605909794695
WEEKDAY,train,0,22,0.12829310754358447
WEEKDAY,train,0,23,0.12934438843477908
WEEKDAY,train,0,24,0.1252680829110615
WEEKDAY,train,0,25,0.10751185125977757
WEEKDAY,train,0,26,0.09138587475618824
WEEKDAY,train,0,27,0.08057105037602295
WEEKDAY,train,0,28,0.07123794765840219
WEEKDAY,train,0,29,0.06864831229514784
WEEKDAY,train,0,30,0.05601888158291604
WEEKDAY,train,0,31,0.05784102848323977
WEEKDAY,train,0,32,0.05633692075868166
WEEKDAY,train,0,33,0.051500588792704693
WEEKDAY,train,0,34,0.058264478519434504
WEEKDAY,train,0,35,0.06682184527759344
WEEKDAY,train,0,36,0.08802788690655726
WEEKDAY,train,0,37,0.12396482136393785
WEEKDAY,train,0,38,0.2001217330488025
WEEKDAY,train,0,39,0.28303593646317177
WEEKDAY,train,0,40,0.2942916484436267
WEEKDAY,train,0,41,0.3028728936679333
WEEKDAY,train,0,42,0.34080006031407306
WEEKDAY,train,0,43,0.32637935844845267
WEEKDAY,train,0,44,0.28913083639983106
WEEKDAY,train,0,45,0.21331501760722685
WEEKDAY,train,0,46,0.14047709489553797
WEEKDAY,train,0,47,0.10848348489875526
WEEKDAY,train,1,0,0.08989640225954094
WEEKDAY,train,1,1,0.0801149124598029
WEEKDAY,train,1,2,0.0720620012590815
WEEKDAY,train,1,3,0.06391753015840602
WEEKDAY,train,1,4,0.05512256903680258
WEEKDAY,train,1,5,0.050273190921001076
WEEKDAY,train,1,6,0.0515879953379953
WEEKDAY,train,1,7,0.050365069844996814
WEEKDAY,train,1,8,0.04929442516121343
WEEKDAY,train,1,9,0.050262663127626596
WEEKDAY,train,1,10,0.05032540452248477
WEEKDAY,train,1,11,0.05289046415871226
WEEKDAY,train,1,12,0.05259079424225405
WEEKDAY,train,1,13,0.06037965987783498
WEEKDAY,train,1,14,0.1651273756656967
WEEKDAY,train,1,15,0.17758303132390724
WEEKDAY,train,1,16,0.21281594014258232
WEEKDAY,train,1,17,0.19310589045990512
WEEKDAY,train,1,18,0.16910039473908087
WEEKDAY,train,1,19,0.1685006295407755
WEEKDAY,train,1,20,0.15850284144079754
WEEKDAY,train,1,21,0.1694662089735082
WEEKDAY,train,1,22,0.1814597051367124
WEEKDAY,train,1,23,0.19497239378626238
WEEKDAY,train,1,24,0.24817667126061288
WEEKDAY,train,1,25,0.2792428070712742
WEEKDAY,train,1,26,0.2778564349276028
WEEKDAY,train,1,27,0.2565608091725793
WEEKDAY,train,1,28,0.26829485903391004
WEEKDAY,train,1,29,0.2260017354907866
WEEKDAY,train,1,30,0.20099982134653663
WEEKDAY,train,1,31,0.19424480628860197
WEEKDAY,train,1,32,0.1587354099671617
WEEKDAY,train,1,33,0.14596987562316022
WEEKDAY,train,1,34,0.12631044442175823
WEEKDAY,train,1,35,0.12079473142429342
WEEKDAY,train,1,36,0.1336196042400421
WEEKDAY,train,1,37,0.14515211066305955
WEEKDAY,train,1,38,0.17468001888622325
WEEKDAY,train,1,39,0.18702603661545256
WEEKDAY,train,1,40,0.1916912315178738
WEEKDAY,train,1,41,0.2007711874500195
WEEKDAY,train,1,42,0.2222317220492403
WEEKDAY,train,1,43,0.22765619417079266
WEEKDAY,train,1,44,0.22239857162302404
WEEKDAY,train,1,45,0.2000435999523591
WEEKDAY,train,1,46,0.1464563872866792
WEEKDAY,train,1,47,0.10420005784969284
WEEKDAY,train,2,0,0.060709653064204304
WEEKDAY,train,2,1,0.05048223576830268
WEEKDAY,train,2,2,0.03783424267000906
WEEKDAY,train,2,3,0.033325011601632405
WEEKDAY,train,2,4,0.029238011285027135
WEEKDAY,train,2,5,0.02640030981057168
WEEKDAY,train,2,6,0.027081589474247214
WEEKDAY,train,2,7,0.026493285510030842
WEEKDAY,train,2,8,0.022537933001114563
WEEKDAY,train,2,9,0.02490370825761547
WEEKDAY,train,2,10,0.0272970870866963
WEEKDAY,train,2,11,0.0269831472735079
WEEKDAY,train,2,12,0.028260094865934234
WEEKDAY,train,2,13,0.04742569353185493
WEEKDAY,train,2,14,0.13647188212452274
WEEKDAY,train,2,15,0.1528004118037394
WEEKDAY,train,2,16,0.1617538632351857
WEEKDAY,train,2,17,0.15590570077474317
WEEKDAY,train,2,18,0.13755976105697018
WEEKDAY,train,2,19,0.1112250944394567
WEEKDAY,train,2,20,0.11462452409814478
WEEKDAY,train,2,21,0.09217189788250325
WEEKDAY,train,2,22,0.07987570350709033
WEEKDAY,train,2,23,0.07428112345727193
WEEKDAY,train,2,24,0.06301339934336926
WEEKDAY,train,2,25,0.05339303475574402
WEEKDAY,train,2,26,0.048319353546918964
WEEKDAY,train,2,27,0.04896665958280379
WEEKDAY,train,2,28,0.051955751518332
WEEKDAY,train,2,29,0.05059861351456453
WEEKDAY,train,2,30,0.04463628701499027
WEEKDAY,train,2,31,0.04456648747385112
WEEKDAY,train,2,32,0.040509620680831464
WEEKDAY,train,2,33,0.04043593585779068
WEEKDAY,train,2,34,0.04222125677484732
WEEKDAY,train,2,35,0.04682306823783849
WEEKDAY,train,2,36,0.0532180615370825
WEEKDAY,train,2,37,0.07144508226316403
WEEKDAY,train,2,38,0.0926462636960704
WEEKDAY,train,2,39,0.13005461622088932
WEEKDAY,train,2,40,0.14011216537783724
WEEKDAY,train,2,41,0.14525401973072646
WEEKDAY,train,2,42,0.17227358022763772
WEEKDAY,train,2,43,0.20140483661576392
WEEKDAY,train,2,44,0.19557515183320248
WEEKDAY,train,2,45,0.1773675010445084
WEEKDAY,train,2,46,0.1350671268286124
WEEKDAY,train,2,47,0.09882634669292024
WEEKDAY,train,3,0,0.0634653531745471
WEEKDAY,train,3,1,0.04794896276007469
WEEKDAY,train,3,2,0.04647299011233624
WEEKDAY,train,3,3,0.03516097455373736
WEEKDAY,train,3,4,0.034907870834451
WEEKDAY,train,3,5,0.044066225227896265
WEEKDAY,train,3,6,0.03314996917458475
WEEKDAY,train,3,7,0.03083262152508149
WEEKDAY,train,3,8,0.03267758733475455
WEEKDAY,train,3,9,0.03580792589664305
WEEKDAY,train,3,10,0.03697387957851534
WEEKDAY,train,3,11,0.029849767279880604
WEEKDAY,train,3,12,0.027093716321469025
WEEKDAY,train,3,13,0.040198929816882875
WEEKDAY,train,3,14,0.13431704057189378
WEEKDAY,train,3,15,0.17207582110905606
WEEKDAY,train,3,16,0.20468178641516896
WEEKDAY,train,3,17,0.188580213142451
WEEKDAY,train,3,18,0.17178227373909935
WEEKDAY,train,3,19,0.14240106453571277
WEEKDAY,train,3,20,0.11502777228724578
WEEKDAY,train,3,21,0.11255423861224446
WEEKDAY,train,3,22,0.10876709516346882
WEEKDAY,train,3,23,0.11538960814857686
WEEKDAY,train,3,24,0.09599351960355217
WEEKDAY,train,3,25,0.0955529044129758
WEEKDAY,train,3,26,0.08399793281471332
WEEKDAY,train,3,27,0.09226785050379548
WEEKDAY,train,3,28,0.09670532785535112
WEEKDAY,train,3,29,0.12658392042807323
WEEKDAY,train,3,30,0.15258433457105608
WEEKDAY,train,3,31,0.16224992587781834
WEEKDAY,train,3,32,0.19346874749984705
WEEKDAY,train,3,33,0.21491505950952286
WEEKDAY,train,3,34,0.21230151726929167
WEEKDAY,train,3,35,0.22701035828074187
WEEKDAY,train,3,36,0.23286468701614682
WEEKDAY,train,3,37,0.23165946622616906
WEEKDAY,train,3,38,0.22861089737254509
WEEKDAY,train,3,39,0.2550454557219971
WEEKDAY,train,3,40,0.2411459289274167
WEEKDAY,train,3,41,0.23570883159910955
WEEKDAY,train,3,42,0.24911023968525134
WEEKDAY,train,3,43,0.22030524220305234
WEEKDAY,train,3,44,0.2047438000128635
WEEKDAY,train,3,45,0.16947169120934455
WEEKDAY,train,3,46,0.1279628283142027
WEEKDAY,train,3,47,0.09244065519302355
WEEKDAY,train,4,0,0.07484675749657575
WEEKDAY,train,4,1,0.06378156141909831
WEEKDAY,train,4,2,0.05284715829341576
WEEKDAY,train,4,3,0.046058272335811765
WEEKDAY,train,4,4,0.033868095289292285
WEEKDAY,train,4,5,0.033628372400426695
WEEKDAY,train,4,6,0.02592653907168025
WEEKDAY,train,4,7,0.025826316695573285
WEEKDAY,train,4,8,0.021424110360050392
WEEKDAY,train,4,9,0.024579528328999838
WEEKDAY,train,4,10,0.022115158266913734
WEEKDAY,train,4,11,0.025536919878948697
WEEKDAY,train,4,12,0.03286254140015212
WEEKDAY,train,4,13,0.03452761991426311
WEEKDAY,train,4,14,0.058532350039757604
WEEKDAY,train,4,15,0.07201430693096599
WEEKDAY,train,4,16,0.09110815221027374
WEEKDAY,train,4,17,0.0891759532645077
WEEKDAY,train,4,18,0.09252453096854625
WEEKDAY,train,4,19,0.08735965001500696
WEEKDAY,train,4,20,0.09155638455281116
WEEKDAY,train,4,21,0.0884998105765238
WEEKDAY,train,4,22,0.08452840408702962
WEEKDAY,train,4,23,0.07361868734552257
WEEKDAY,train,4,24,0.07160773883423692
WEEKDAY,train,4,25,0.0773532297887056
WEEKDAY,train,4,26,0.06923201967715334
WEEKDAY,train,4,27,0.06330150173949671
WEEKDAY,train,4,28,0.06202270649851956
WEEKDAY,train,4,29,0.053266954961934794
WEEKDAY,train,4,30,0.04753466506950244
WEEKDAY,train,4,31,0.050020090228285276
WEEKDAY,train,4,32,0.04448899364294185
WEEKDAY,train,4,33,0.044674006871253016
WEEKDAY,train,4,34,0.036824724158831604
WEEKDAY,train,4,35,0.031815632387961465
WEEKDAY,train,4,36,0.03657283327157243
WEEKDAY,train,4,37,0.04045030119184063
WEEKDAY,train,4,38,0.048187821910449596
WEEKDAY,train,4,39,0.04975587859110584
WEEKDAY,train,4,40,0.04775531645969596
WEEKDAY,train,4,41,0.0524131434259171
WEEKDAY,train,4,42,0.047188606847697705
WEEKDAY,train,4,43,0.047239056840085336
WEEKDAY,train,4,44,0.048563324255925404
WEEKDAY,train,4,45,0.051454234495873476
WEEKDAY,train,4,46,0.053936607519885514
WEEKDAY,train,4,47,0.052385494675640604
