split,group_load,group_pv,cluster_load,cluster_pv,n_days,n_total,probability
train,LOAD_ALL,PV_ALL,0,0,39,603,0.06467661691542288
train,LOAD_ALL,PV_ALL,0,1,2,603,0.003316749585406302
train,LOAD_ALL,PV_ALL,0,2,10,603,0.01658374792703151
train,LOAD_ALL,PV_ALL,0,3,20,603,0.03316749585406302
train,LOAD_ALL,PV_ALL,1,0,21,603,0.03482587064676617
train,LOAD_ALL,PV_ALL,1,1,1,603,0.001658374792703151
train,LOAD_ALL,PV_ALL,1,2,10,603,0.01658374792703151
train,LOAD_ALL,PV_ALL,1,3,49,603,0.0812603648424544
train,LOAD_ALL,PV_ALL,2,0,103,603,0.17081260364842454
train,LOAD_ALL,PV_ALL,2,1,10,603,0.01658374792703151
train,LOAD_ALL,PV_ALL,2,2,13,603,0.02155887230514096
train,LOAD_ALL,PV_ALL,2,3,23,603,0.03814262023217247
train,LOAD_ALL,PV_ALL,3,0,19,603,0.03150912106135987
train,LOAD_ALL,PV_ALL,3,1,0,603,0.0
train,LOAD_ALL,PV_ALL,3,2,6,603,0.009950248756218905
train,LOAD_ALL,PV_ALL,3,3,44,603,0.07296849087893864
train,LOAD_ALL,PV_ALL,4,0,81,603,0.13432835820895522
train,LOAD_ALL,PV_ALL,4,1,2,603,0.003316749585406302
train,LOAD_ALL,PV_ALL,4,2,26,603,0.04311774461028192
train,LOAD_ALL,PV_ALL,4,3,96,603,0.15920398009950248
train,LOAD_ALL,PV_ALL,5,0,3,603,0.004975124378109453
train,LOAD_ALL,PV_ALL,5,1,0,603,0.0
train,LOAD_ALL,PV_ALL,5,2,4,603,0.006633499170812604
train,LOAD_ALL,PV_ALL,5,3,21,603,0.03482587064676617
